image_path,label
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_0.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_1.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_10.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_100.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_101.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_102.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_103.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_104.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_105.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_106.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_108.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_109.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_11.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_110.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_111.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_112.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_113.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_114.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_117.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_118.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_119.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_12.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_121.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_122.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_123.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_124.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_125.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_126.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_127.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_128.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_13.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_131.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_133.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_134.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_135.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_136.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_138.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_139.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_140.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_141.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_142.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_143.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_144.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_145.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_146.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_147.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_149.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_15.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_150.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_151.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_153.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_154.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_155.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_156.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_157.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_158.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_16.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_160.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_162.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_165.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_166.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_17.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_170.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_171.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_173.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_174.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_175.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_176.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_177.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_178.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_179.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_18.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_180.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_182.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_183.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_184.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_185.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_186.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_187.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_188.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_189.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_19.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_190.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_191.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_192.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_193.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_194.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_196.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_198.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_199.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_2.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_200.jpg,Closed
C:\\Users\\vaish\\Downloads\\archive\\dataset_new\\train\Closed\_201.jpg,Closed
